,'Amusement','Anger','Awe','Content','Disgust','Excitement','Fear','Sad'
'abstract_0155.jpg',1,3,1,0,3,1,5,3
'abstract_0156.jpg',4,1,2,2,1,0,4,1
'abstract_0157.jpg',0,0,1,0,2,0,4,5
'abstract_0158.jpg',0,0,2,1,1,0,2,4
'abstract_0159.jpg',0,2,0,1,1,3,8,0
'abstract_0160.jpg',3,1,0,1,1,4,1,0
'abstract_0161.jpg',0,3,0,1,4,2,1,2
'abstract_0162.jpg',2,1,0,6,1,2,3,0
'abstract_0163.jpg',4,0,1,1,3,4,0,0
'abstract_0164.jpg',2,0,0,2,3,2,0,0
'abstract_0165.jpg',1,1,2,4,1,1,2,1
'abstract_0166.jpg',1,2,2,4,0,1,1,0
'abstract_0167.jpg',0,0,1,1,1,1,1,7
'abstract_0168.jpg',1,0,2,10,0,1,0,2
'abstract_0169.jpg',0,2,1,3,1,1,4,4
'abstract_0170.jpg',1,1,1,0,0,2,5,3
'abstract_0171.jpg',0,0,2,1,2,1,2,4
'abstract_0172.jpg',0,3,2,3,1,3,1,2
'abstract_0173.jpg',1,0,1,5,1,1,2,2
'abstract_0174.jpg',2,2,2,1,5,2,0,3
'abstract_0175.jpg',0,3,3,0,2,3,2,2
'abstract_0176.jpg',1,0,2,7,1,1,0,3
'abstract_0177.jpg',0,0,4,2,1,0,1,4
'abstract_0178.jpg',0,0,2,2,2,0,5,3
'abstract_0179.jpg',0,1,0,0,4,4,3,0
'abstract_0180.jpg',0,0,7,6,0,0,1,3
'abstract_0181.jpg',1,2,0,0,0,3,0,0
'abstract_0182.jpg',6,0,1,2,1,9,0,0
'abstract_0183.jpg',0,1,1,0,0,0,4,2
'abstract_0184.jpg',0,0,3,0,1,2,4,2
'abstract_0185.jpg',0,3,1,0,0,1,3,3
'abstract_0186.jpg',0,2,5,0,0,4,4,2
'abstract_0187.jpg',5,0,0,3,1,1,1,1
'abstract_0188.jpg',4,1,1,7,0,6,0,0
'abstract_0189.jpg',2,0,0,2,0,4,2,1
'abstract_0190.jpg',5,2,0,0,1,7,0,1
'abstract_0191.jpg',0,1,1,1,0,1,3,2
'abstract_0192.jpg',8,0,0,3,0,5,3,0
'abstract_0193.jpg',0,0,0,0,2,0,6,3
'abstract_0194.jpg',1,2,7,0,2,5,2,0
'abstract_0195.jpg',0,1,1,2,2,2,0,4
'abstract_0196.jpg',2,1,2,3,1,2,6,2
'abstract_0197.jpg',0,0,1,10,1,3,0,1
'abstract_0198.jpg',1,2,3,2,1,3,0,1
'abstract_0199.jpg',2,4,2,0,2,2,5,0
'abstract_0200.jpg',6,2,3,4,2,2,0,0
'abstract_0201.jpg',1,1,2,2,4,0,4,2
'abstract_0202.jpg',0,1,1,8,0,1,1,5
'abstract_0203.jpg',1,3,1,0,0,2,4,0
'abstract_0204.jpg',0,0,3,1,7,1,0,1
'abstract_0205.jpg',3,2,0,1,5,1,3,0
'abstract_0206.jpg',2,0,0,3,0,1,1,7
'abstract_0207.jpg',0,0,2,8,0,0,1,2
'abstract_0208.jpg',9,0,0,3,0,1,0,0
'abstract_0209.jpg',2,0,2,3,1,4,1,0
'abstract_0210.jpg',1,2,1,7,1,1,4,2
'abstract_0211.jpg',3,0,1,1,4,4,1,0
'abstract_0212.jpg',0,0,3,4,1,3,1,2
'abstract_0213.jpg',1,0,3,2,2,1,3,1
'abstract_0214.jpg',1,4,2,1,3,1,6,2
'abstract_0215.jpg',0,6,0,0,0,2,1,0
'abstract_0216.jpg',0,1,1,1,3,0,6,0
'abstract_0217.jpg',0,3,0,0,3,1,6,5
'abstract_0218.jpg',0,1,0,0,1,3,5,2
'abstract_0219.jpg',0,0,3,2,2,0,1,6
'abstract_0220.jpg',0,0,8,2,2,9,0,1
'abstract_0221.jpg',0,1,3,0,1,6,3,2
'abstract_0222.jpg',0,0,0,2,2,0,3,2
'abstract_0223.jpg',1,0,1,4,2,2,3,4
'abstract_0224.jpg',0,1,3,0,3,3,2,2
'abstract_0225.jpg',0,0,1,0,1,1,2,7
'abstract_0226.jpg',0,0,0,0,1,0,2,10
'abstract_0227.jpg',0,0,1,5,1,0,0,1
'abstract_0228.jpg',0,1,1,4,1,2,1,8
'abstract_0229.jpg',0,1,0,2,2,4,0,0
'abstract_0230.jpg',0,2,2,1,5,1,5,3
'abstract_0231.jpg',0,0,2,5,1,0,0,3
'abstract_0232.jpg',6,0,3,2,1,2,0,0
'abstract_0233.jpg',1,2,2,4,2,2,4,3
'abstract_0234.jpg',1,1,4,5,1,2,0,1
'abstract_0235.jpg',1,2,1,0,2,0,2,0
'abstract_0236.jpg',2,0,5,3,0,1,1,2
'abstract_0237.jpg',3,0,0,4,0,0,0,2
'abstract_0238.jpg',1,0,3,3,1,6,3,1
'abstract_0239.jpg',1,1,2,8,0,0,1,4
'abstract_0240.jpg',1,1,3,2,2,0,8,2
'abstract_0241.jpg',4,2,3,3,2,4,1,4
'abstract_0242.jpg',1,0,2,1,3,2,2,4
'abstract_0243.jpg',0,1,3,1,1,0,0,1
'abstract_0244.jpg',0,2,0,0,3,2,3,0
'abstract_0245.jpg',0,2,0,0,0,3,2,0
'abstract_0246.jpg',7,0,2,5,0,1,2,0
'abstract_0247.jpg',0,0,1,7,0,1,2,4
'abstract_0248.jpg',1,1,1,5,3,3,2,1
'abstract_0249.jpg',2,2,3,1,5,3,1,1
'abstract_0250.jpg',1,0,1,8,1,2,3,5
'abstract_0251.jpg',0,0,2,2,3,3,8,1
'abstract_0252.jpg',0,3,2,1,0,2,1,0
'abstract_0253.jpg',4,0,2,1,3,1,0,3
'abstract_0254.jpg',3,2,1,0,0,2,2,1
'abstract_0255.jpg',5,0,1,5,0,1,3,1
'abstract_0256.jpg',3,0,4,10,0,1,0,1
'abstract_0257.jpg',0,0,5,0,0,3,4,0
'abstract_0258.jpg',0,1,0,2,4,1,2,3
'abstract_0259.jpg',0,1,0,0,0,0,5,4
'abstract_0260.jpg',0,2,3,2,3,2,2,0
'abstract_0261.jpg',5,0,0,3,3,0,1,2
'abstract_0262.jpg',0,0,0,1,1,0,3,5
'abstract_0263.jpg',0,0,1,2,0,1,1,7
'abstract_0264.jpg',0,0,0,2,0,0,2,5
'abstract_0265.jpg',0,0,2,0,0,4,1,3
'abstract_0266.jpg',1,0,4,5,2,2,1,2
'abstract_0267.jpg',6,2,0,0,3,1,0,0
'abstract_0268.jpg',0,3,1,0,0,1,8,9
'abstract_0269.jpg',0,0,0,0,13,0,1,0
'abstract_0270.jpg',1,3,0,1,3,7,2,0
'abstract_0271.jpg',2,0,3,6,1,1,1,1
'abstract_0272.jpg',0,0,1,2,0,0,2,3
'abstract_0273.jpg',1,0,2,3,2,1,1,4
'abstract_0274.jpg',0,2,0,0,0,5,4,0
'abstract_0275.jpg',0,0,1,4,1,1,1,7
'abstract_0276.jpg',3,0,2,5,2,0,1,2
'abstract_0277.jpg',1,1,4,1,1,0,4,5
'abstract_0278.jpg',0,0,1,9,1,0,1,5
'abstract_0279.jpg',2,0,3,4,1,0,1,4
'abstract_0280.jpg',1,3,0,0,2,0,5,3
'abstract_0281.jpg',1,0,2,4,0,0,0,1
'abstract_0282.jpg',1,1,1,2,2,3,2,2
'abstract_0283.jpg',2,2,0,5,2,0,0,6
